Eligibile_Status,Successful_Flight,Unsuccessful_Flight,Unsuccessful_Flight_Indicator,Unsuccessful_PAX_Indicator,Eligible_Biometric_DEP_INTL_PAX_Indicator,Eligible_Biometric_Flight_Indicator,Eligible_Biometric_DEP_INTL_PAX,Total_Flights,Eligible_Biometric_Flight,new_start_date_date_format,Total_DEP_INTL_Pax,Gate_Ref,host_carrier_code,flight_number,Origin,scheduled_arrival_station_code,Date,scheduled_departure_time_local,departure_gate,new_Gate_Ref,new_Start_Date,Biometric_Flights,Biometric_Passengers_Matched,BCR,%_Eligible_Flights,Usage_on_Eligible_Flights,BCR_on_Eligible_Flights,Max_acheviable_BCR,Flight_Saturation
Successful,Successful,,0,23,179,1,179,1,1,2021-01-02,179,SFOG1,UA,948,SFO,LHR,2023-04-25,16:00,G1,SFOG1,2021-01-02,1,156,0.87150838,1.0,1.0,0.87150838,1.0,1.0
Successful,Successful,,0,66,318,1,318,1,1,2021-01-02,318,SFOG2,UA,58,SFO,FRA,2023-04-19,13:50,G2,SFOG2,2021-01-02,1,252,0.79245283,1.0,1.0,0.79245283,1.0,1.0
Successful,Successful,,0,82,291,1,291,1,1,2021-01-02,291,SFOG12,UA,871,SFO,TPE,2023-04-16,14:00,G12,SFOG12,2021-01-02,1,209,0.71821306,1.0,1.0,0.71821306,1.0,1.0
Successful,Successful,,0,15,257,1,257,1,1,2021-01-02,257,SFOG5,UA,837,SFO,NRT,2023-04-10,11:35,G5,SFOG5,2021-01-02,1,242,0.94163424,1.0,1.0,0.94163424,1.0,1.0
Successful,Successful,,0,8,180,1,180,1,1,2021-01-02,180,SFOG12,UA,990,SFO,CDG,2023-04-17,14:35,G12,SFOG12,2021-01-02,1,172,0.95555556,1.0,1.0,0.95555556,1.0,1.0
Successful,Successful,,0,31,336,1,336,1,1,2021-01-02,336,SFOG5,UA,954,SFO,TLV,2023-04-28,19:50,G5,SFOG5,2021-01-02,1,305,0.9077381,1.0,1.0,0.9077381,1.0,1.0
Successful,Successful,,0,16,208,1,208,1,1,2021-01-02,208,SFOG9,UA,115,SFO,PPT,2023-04-18,13:20,G9,SFOG9,2021-01-02,1,192,0.92307692,1.0,1.0,0.92307692,1.0,1.0
Successful,Successful,,0,-34,218,1,218,1,1,2021-01-02,218,SFOG6,UA,863,SFO,SYD,2023-04-09,22:45,G6,SFOG6,2021-01-02,1,252,1.1559633,1.0,1.0,1.1559633,1.0,1.0
Successful,Successful,,0,14,248,1,248,1,1,2021-01-02,248,SFOG5,UA,875,SFO,HND,2023-04-19,10:45,G5,SFOG5,2021-01-02,1,234,0.94354839,1.0,1.0,0.94354839,1.0,1.0
Successful,Successful,,0,35,284,1,284,1,1,2021-01-02,284,SFOG10,UA,58,SFO,FRA,2023-04-27,13:50,G10,SFOG10,2021-01-02,1,249,0.87676056,1.0,1.0,0.87676056,1.0,1.0
Successful,Successful,,0,18,236,1,236,1,1,2021-01-02,236,SFOG12,UA,875,SFO,HND,2023-04-18,10:45,G12,SFOG12,2021-01-02,1,218,0.92372881,1.0,1.0,0.92372881,1.0,1.0
Successful,Successful,,0,13,138,1,138,1,1,2021-01-02,138,SFOG4,UA,115,SFO,PPT,2023-04-21,13:20,G4,SFOG4,2021-01-02,1,125,0.9057971,1.0,1.0,0.9057971,1.0,1.0
Unsuccessful,,Unsuccessful,1,264,264,1,264,1,1,2021-01-02,264,SFOG13,UA,805,SFO,ICN,2023-04-26,23:45,G13,SFOG13,2021-01-02,0,0,0.0,1.0,0.0,0.0,1.0,0.0
Successful,Successful,,0,66,321,1,321,1,1,2021-01-02,321,SFOG2,UA,869,SFO,HKG,2023-04-18,12:45,G2,SFOG2,2021-01-02,1,255,0.79439252,1.0,1.0,0.79439252,1.0,1.0
